2020-05-04T15:46:22,602 WARN  [main]: AnnotationConfigApplicationContext   - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'console': Unsatisfied dependency expressed through field 'logger'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'org.slf4j.Logger' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)} 
2020-05-04T16:03:51,168 INFO  [main]: StudentService                       - Added student: Student{serialNumber='sn-004', name='Bogdan', group=923} BaseEntity{id=5} to the database; 
2020-05-04T16:06:38,631 INFO  [main]: StudentService                       - Fetched students: [Student{serialNumber='sn-001', name='Jon Doe', group=923} BaseEntity{id=1}, Student{serialNumber='sn-002', name='Jane Doe', group=921} BaseEntity{id=3}, Student{serialNumber='sn-003', name='Alex', group=922} BaseEntity{id=4}, Student{serialNumber='sn-004', name='Bogdan', group=923} BaseEntity{id=5}] 
2020-05-04T16:23:26,929 INFO  [main]: ProblemService                       - Added problem Problem{number='101', description=Geometry problem} BaseEntity{id=6} 
2020-05-04T16:23:40,982 INFO  [main]: ProblemService                       - Added problem Problem{number='102', description=Algebra} BaseEntity{id=7} 
2020-05-04T16:24:06,680 INFO  [main]: ProblemService                       - Added grade Grade{studentId='1', problemId='6', grade='10.0'} BaseEntity{id=8} 
2020-05-05T17:53:21,118 INFO  [main]: StudentService                       - Fetched students: [Student{serialNumber='sn-001', name='Jon Doe', group=923} BaseEntity{id=1}, Student{serialNumber='sn-002', name='Jane Doe', group=921} BaseEntity{id=3}, Student{serialNumber='sn-003', name='Alex', group=922} BaseEntity{id=4}, Student{serialNumber='sn-004', name='Bogdan', group=923} BaseEntity{id=5}] 
2020-05-05T18:10:49,429 INFO  [main]: StudentService                       - Fetched students: [Student{serialNumber='sn-001', name='Jon Doe', group=923} BaseEntity{id=1}, Student{serialNumber='sn-002', name='Jane Doe', group=921} BaseEntity{id=3}, Student{serialNumber='sn-003', name='Alex', group=922} BaseEntity{id=4}, Student{serialNumber='sn-004', name='Bogdan', group=923} BaseEntity{id=5}] 
2020-05-05T18:10:58,434 INFO  [main]: StudentService                       - Student with id: 1 was deleted from the database; 
2020-05-05T18:10:58,704 INFO  [main]: ProblemService                       - Deleted grade with id 8 
2020-05-05T18:11:04,410 INFO  [main]: StudentService                       - Fetched students: [Student{serialNumber='sn-002', name='Jane Doe', group=921} BaseEntity{id=3}, Student{serialNumber='sn-003', name='Alex', group=922} BaseEntity{id=4}, Student{serialNumber='sn-004', name='Bogdan', group=923} BaseEntity{id=5}] 
